,Completeness,DATANAME,DataCount,F000,FileMaxIndices,FileMinIndices,FilteredOff,FriedelOppositesMerged,FriedelPairCount,InconsistentEquivalents,IntensityTransformed,LimDmax,LimDmin,MaxD,MaxIndices,MeanIOverSigma,MinD,MinIndices,OmittedByUser,OmittedReflections,R1,R_all,Redundancy,ReflectionAPotMax,Rint,Rsigma,SystematicAbsencesRemoved,TotalReflections,UniqueReflections,Z,Zprime,a,alpha,b,beta,c,gamma,goof,last Shift,mu,tot_reflIns,volume,wR2,wavelength
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8547140649149922,"sucrose
",3318,364.337,"(10, 9, 14)","(-10, -11, -14)",0,0,1870,0,0,99.0,0.65,8.721602999999998,"(10, 9, 14)",21.21509019045119,0.7282650236048105,"(-10, -11, 0)",0,0,0.0311,0.036,"(2174, 1251, 451, 563, 542, 229, 108, 43, 9, 4, 3, 2)",17,0.03386720166861293,0.030618793689844652,25,13643,3318,2,1,7.7727(9),90,8.7216(11),102.983(11),10.8637(11),90,1.0717,0.0001,0.142,13618.0,717.63(15),0.0706,0.71073
2,0.8547140649149922,"sucrose
",3318,364.337,"(10, 9, 14)","(-10, -11, -14)",0,0,1870,0,0,99.0,0.65,8.721602999999998,"(10, 9, 14)",21.21509019045119,0.7282650236048105,"(-10, -11, 0)",0,0,0.0311,0.036,"(2174, 1251, 451, 563, 542, 229, 108, 43, 9, 4, 3, 2)",17,0.03386720166861293,0.030618793689844652,25,13643,3318,2,1,7.7727(9),90,8.7216(11),102.983(11),10.8637(11),90,1.0717,0.0001,0.142,13618.0,717.63(15),0.0706,0.71073
3,0.8547140649149922,"sucrose
",3318,364.337,"(10, 9, 14)","(-10, -11, -14)",0,0,1870,0,0,99.0,0.65,8.721602999999998,"(10, 9, 14)",21.21509019045119,0.7282650236048105,"(-10, -11, 0)",0,0,0.0311,0.036,"(2174, 1251, 451, 563, 542, 229, 108, 43, 9, 4, 3, 2)",17,0.03386720166861293,0.030618793689844652,25,13643,3318,2,1,7.7727(9),90,8.7216(11),102.983(11),10.8637(11),90,1.0717,0.0001,0.142,13618.0,717.63(15),0.0706,0.71073
